,year,month,건강/취미,경제경영,고전,과학,달력/기타,대학교재/전문서적,만화,사회과학,성인물,소설/시/희곡,수험서/자격증,어린이,에세이,여행,역사,예술/대중문화,외국어,요리/살림,유아,인문학,자기계발,잡지,전집/중고전집,종교/역학,좋은부모,참고서,청소년,컴퓨터/모바일,해외잡지
0,2010,1,25.0,163.0,,25.0,,,32.0,66.0,3.0,407.0,11.0,,179.0,18.0,26.0,35.0,111.0,41.0,,85.0,124.0,,,62.0,89.0,2.0,94.0,2.0,
1,2010,2,31.0,115.0,,27.0,,2.0,29.0,60.0,3.0,312.0,9.0,,185.0,12.0,29.0,31.0,89.0,41.0,,85.0,135.0,,,63.0,86.0,1.0,76.0,5.0,
2,2010,3,3.0,27.0,,3.0,,,6.0,20.0,1.0,115.0,,1.0,117.0,,5.0,3.0,38.0,4.0,,23.0,62.0,,,50.0,41.0,,30.0,1.0,
3,2010,4,41.0,106.0,,31.0,,2.0,46.0,66.0,3.0,358.0,3.0,5.0,244.0,3.0,30.0,20.0,74.0,31.0,,94.0,131.0,,,142.0,94.0,2.0,67.0,4.0,
4,2010,5,48.0,132.0,1.0,35.0,,5.0,52.0,106.0,6.0,457.0,7.0,2.0,251.0,11.0,41.0,24.0,95.0,34.0,,81.0,175.0,,,165.0,93.0,1.0,124.0,6.0,
5,2010,6,35.0,129.0,,32.0,,2.0,64.0,82.0,5.0,431.0,25.0,,195.0,20.0,37.0,24.0,110.0,39.0,,106.0,196.0,,,118.0,76.0,4.0,82.0,9.0,
6,2010,7,4.0,51.0,,9.0,,,20.0,36.0,2.0,183.0,7.0,,51.0,2.0,13.0,6.0,56.0,10.0,,33.0,96.0,,1.0,31.0,23.0,1.0,37.0,3.0,
7,2010,8,13.0,100.0,2.0,31.0,,,23.0,60.0,4.0,361.0,3.0,,140.0,6.0,23.0,15.0,69.0,16.0,,80.0,163.0,,4.0,55.0,48.0,,100.0,6.0,
8,2010,9,29.0,74.0,1.0,19.0,,1.0,42.0,62.0,2.0,340.0,13.0,,130.0,8.0,20.0,21.0,73.0,42.0,,92.0,161.0,,1.0,90.0,51.0,,50.0,6.0,
9,2010,10,34.0,161.0,5.0,27.0,,,63.0,108.0,13.0,496.0,18.0,,189.0,8.0,32.0,22.0,94.0,71.0,,137.0,228.0,,4.0,137.0,92.0,,95.0,12.0,
10,2010,11,35.0,177.0,2.0,27.0,,2.0,71.0,110.0,11.0,528.0,12.0,,168.0,5.0,30.0,25.0,106.0,62.0,,128.0,229.0,,2.0,134.0,83.0,2.0,82.0,9.0,
11,2010,12,20.0,92.0,,12.0,3.0,1.0,33.0,64.0,1.0,262.0,3.0,1.0,147.0,7.0,12.0,3.0,68.0,29.0,,64.0,123.0,,,102.0,60.0,,64.0,1.0,
12,2011,1,16.0,108.0,7.0,19.0,,1.0,36.0,50.0,3.0,411.0,5.0,,131.0,5.0,12.0,17.0,98.0,21.0,,63.0,148.0,,1.0,93.0,46.0,1.0,69.0,4.0,
13,2011,2,13.0,63.0,8.0,14.0,,1.0,34.0,46.0,2.0,306.0,,1.0,122.0,2.0,8.0,10.0,54.0,20.0,,61.0,102.0,,1.0,70.0,43.0,,51.0,2.0,
14,2011,3,6.0,25.0,1.0,3.0,,2.0,16.0,19.0,1.0,106.0,2.0,,49.0,,,4.0,47.0,17.0,,39.0,59.0,,1.0,32.0,31.0,1.0,41.0,1.0,
15,2011,4,31.0,117.0,4.0,25.0,,2.0,74.0,63.0,7.0,337.0,8.0,,130.0,9.0,21.0,23.0,94.0,62.0,,81.0,140.0,,5.0,119.0,74.0,1.0,72.0,8.0,
16,2011,5,35.0,145.0,5.0,34.0,,1.0,78.0,105.0,11.0,429.0,13.0,,200.0,19.0,24.0,31.0,115.0,95.0,,122.0,160.0,,5.0,148.0,92.0,2.0,116.0,5.0,
17,2011,6,39.0,128.0,8.0,16.0,,3.0,46.0,100.0,8.0,410.0,18.0,1.0,155.0,23.0,40.0,31.0,144.0,79.0,,133.0,189.0,,3.0,155.0,119.0,3.0,87.0,5.0,
18,2011,7,21.0,57.0,2.0,8.0,,,27.0,51.0,1.0,199.0,19.0,2.0,82.0,8.0,39.0,10.0,98.0,25.0,,57.0,118.0,,1.0,61.0,56.0,1.0,86.0,1.0,
19,2011,8,25.0,101.0,3.0,22.0,,4.0,45.0,67.0,5.0,372.0,12.0,1.0,150.0,10.0,36.0,17.0,86.0,33.0,,99.0,166.0,,,81.0,73.0,,159.0,1.0,
20,2011,9,23.0,98.0,3.0,20.0,,27.0,59.0,71.0,6.0,351.0,9.0,,128.0,8.0,30.0,17.0,88.0,53.0,,122.0,162.0,,,127.0,87.0,2.0,58.0,6.0,
21,2011,10,42.0,133.0,4.0,11.0,,7.0,74.0,107.0,5.0,440.0,4.0,,176.0,9.0,40.0,11.0,78.0,61.0,,189.0,198.0,,2.0,140.0,110.0,3.0,102.0,4.0,
